Damp soil
Elongated abdomen
Orb web
Dew-beaded silk
Spinneret cluster
Green carapace
Yellow markings
Metallic sheen
Leg annulations
Hub-centered
Smooth cuticle
Underside resting
Green legs
Long legs
streamside shrubs
visible spinnerets
yellow stripes
long chelicerae
glossy sheen
translucent legs
low vegetation
green flanks
dark annulations
slender carapace
leaf underside
underside resting
silvery abdomen
spined tibiae
elongate abdomen
orange venter
banded legs
black speckles
horizontal orb
head down
Horizontal orb web
Shrub understory
Iridescent silver
Yellow lateral spots
Red posterior patch
Elongate abdomen
Dark spinnerets
Metallic green
Leg spines
Glossy carapace
Green legs
Black annulations
Streamside shrubs
Slender legs
Orange venter
Central black band
Inverted hang
Ventral stripes
Stocky build
Robust chelicerae
Eye cluster
Copper setae
Blonde carapace
Foveal groove
Sandy substrate
Velvety hairs
Spinneret tips
Urticating patch
Scopula pads
Black femora
Pale patellae
Bicolor legs
Desert scrub
Downturned fangs
Silk burrow
Dark abdomen
stout chelicerae
chaparral scrub
broad carapace
eye cluster
granite soils
velvety setae
dark brown
matte sheen
thick femora
urticating patch
dense scopulae
bristly legs
silk rim
oval abdomen
central fovea
uniform coloration
long spinnerets
silk burrow
subdued markings
soil collar
Nocturnal roaming
Red clay
Cheliceral fangs
Silk-lined burrow
Dark femora
Tan carapace
Thick femora
Tibial spurs
Palpal bulbs
Rusty setae
Bald abdomen
Stocky legs
Urticating patch
Velvet hairs
Dry grasses
Long spinnerets
Scopula pads
Webbed rim
Ocular tubercle
Prairie soil
Golden setae
Dark brown
Oval abdomen
Thick spinnerets
Sagebrush scrub
Scopulate tarsi
Ebony legs
Copper carapace
Velvety hairs
Low eye mound
Bald spot
Glossy chelicerae
Rounded carapace
Tibial spurs
Palpal bulbs
Silk burrow
Stout body
Urticating patch
slender legs
pale cream
short spinnerets
red stripes
ringed joints
eight eyes
central blotch
globose abdomen
tangle web
small size
tarsal comb
glossy cuticle
translucent legs
dark carapace
hedgerow shrubs
greenish sheen
garden nettles
leaf retreat
leg annulations
under eaves
outdoor furniture
tawny brown
mottled abdomen
corner retreats
lateral spots
urban crevices
globose abdomen
glossy carapace
tangle web
tarsal comb
geometric dorsum
banded legs
sparse setae
spiky sac
orange hourglass
slender pedicel
Black legs
Bulbous abdomen
Under ledges
Dark chelicerae
Slender legs
Lateral spots
Urban crevices
Red stripe
Prominent spinnerets
Tarsal comb
Fine setae
Egg sacs
Shiny carapace
Corner retreat
Irregular cobweb
Dry shelters
Glossy black
Compact pedipalps
Anterior spot
Gumfooted threads
Tiny spinnerets
Bulbous abdomen
Red hourglass
Long tarsi
Woodpiles
Inverted posture
Glossy black
Shiny carapace
Smooth exoskeleton
Shadowed crevices
Dorsal unmarked
Comb feet
Slender legs
Irregular cobweb
Ventral display
Under eaves
Silk retreat
Papery sac
Slender legs
Lateral spots
Short spinnerets
Shiny black
Sand substrate
Red stripe
Tarsal comb
Cobweb tangle
Small carapace
Spinifex clumps
Gumfoot lines
White margins
Globose abdomen
Driftwood retreat
Silk retreat
Coastal dunes
Pingao fronds
Banded legs
Bulbous palps
Small cephalothorax
Unmarked dorsum
Bulbous abdomen
Red hourglass
Glossy cuticle
Gumfoot lines
Silken retreat
Ventral mark
Slender legs
Smooth ootheca
Jet black
Unbanded legs
Dark crevices
Low web
Narrow pedicel
Irregular cobweb
Tarsal comb
Inverted hang
dorsal red spots
slender legs
gumfoot lines
short spinnerets
glossy black
tangled cobweb
woodpile shelter
small carapace
globose abdomen
uniform black legs
tarsal comb
silken retreat
hourglass gap
thin pedicel
ventral triangles
dark crevice
smooth cuticle
split hourglass
